dropping objects

Type dropped.


Type dropped.

recreating the CIS_REPORT_RECORD object (record)

Type created.

No errors.
recreating the CIS_REPORT object (array)

Type created.

No errors.
running the sample PL/SQL
Start: 13:57:16                                                                                     
After firt select: 13:57:18   Record count: 1873                                                    
869997 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870006 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
870028 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870036 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870040 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870042 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870045 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870050 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
870061 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
870069 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870083 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870088 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870101 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870102 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
870128 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870130 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870150 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870162 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870168 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870171 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870193 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870194 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870200 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
870217 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870228 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870229 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870237 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870246 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870252 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870261 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870271 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870276 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870281 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870289 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870293 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870297 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870300 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870303 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870309 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870310 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870314 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870321 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870333 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870343 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870349 - XOOM -  - 13-JUL-12 - 8c56b068-7091-409f-9263-607337a735bf -                               
870361 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
870363 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870366 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
870385 - XOOM -  - 13-JUL-12 - 8c56b068-7091-409f-9263-607337a735bf -                               
870407 - XOOM -  - 13-JUL-12 - 8c56b068-7091-409f-9263-607337a735bf -                               
870411 - XOOM -  - 13-JUL-12 - 8c56b068-7091-409f-9263-607337a735bf -                               
870461 - XOOM -  - 13-JUL-12 - 8c56b068-7091-409f-9263-607337a735bf -                               
873320 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
873327 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
873400 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
873730 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
877488 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
877609 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
877635 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
878624 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879072 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879081 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879099 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879110 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879111 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879125 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879129 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879133 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879137 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879156 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879194 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879235 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879249 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879252 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879255 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879257 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879265 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879268 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879272 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879273 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879288 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
