
TABLESPACE           DATA_FILE                                          FILESYSTEM                  SIZE_MB                                                                                                                                                                                                 
-------------------- -------------------------------------------------- ------------------------- ---------                                                                                                                                                                                                 
** Script Output **  /swp/c1/prod/files/areafcp                         /dev/vg07/lvol5            61440000                                                                                                                                                                                                 
-------------------- -------------------------------------------------- ------------------------- ---------                                                                                                                                                                                                 
DATA_TBS_2           /cl02/oradata/CL2PRP/data_tbs_2_02.dbf             /dev/vg03/lvol2             2097.15                                                                                                                                                                                                 
DATA_TBS_2           /cl02/oradata/CL2PRP/data_tbs_2_03.dbf             /dev/vg03/lvol2             1572.86                                                                                                                                                                                                 
DATA_TBS_2           /cl02/oradata/CL2PRP/data_tbs_2_04.dbf             /dev/vg03/lvol2             1572.86                                                                                                                                                                                                 
DATA_TBS_2           /cl02/oradata/CL2PRP/data_tbs_2_05.dbf             /dev/vg03/lvol2             1048.58                                                                                                                                                                                                 
DATA_TBS_2           /cl02/oradata/CL2PRP/data_tbs_2_06.dbf             /dev/vg03/lvol2             2097.15                                                                                                                                                                                                 
DATA_TBS_2           /cl02/oradata/CL2PRP/data_tbs_2_07.dbf             /dev/vg03/lvol2             1048.58                                                                                                                                                                                                 
DATA_TBS_2           /cl04/oradata/CL2PRP/data_tbs_1_26.dbf             /dev/vg03/lvol4             2097.15                                                                                                                                                                                                 
DATA_TBS_2           /cl04/oradata/CL2PRP/data_tbs_1_27.dbf             /dev/vg03/lvol4             2097.15                                                                                                                                                                                                 
DATA_TBS_2           /cl04/oradata/CL2PRP/data_tbs_2_08.dbf             /dev/vg03/lvol4             1048.58                                                                                                                                                                                                 
DATA_TBS_2           /cl04/oradata/CL2PRP/data_tbs_2_09.dbf             /dev/vg03/lvol4             1048.58                                                                                                                                                                                                 
DATA_TBS_2           /cl05/oradata/CL2PRP/data_tbs_2_10.dbf             /dev/vg03/lvol5             2097.15                                                                                                                                                                                                 
DATA_TBS_2           /cl05/oradata/CL2PRP/data_tbs_2_11.dbf             /dev/vg03/lvol5              524.29                                                                                                                                                                                                 
DATA_TBS_2           /cl06/oradata/CL2PRP/data_tbs_2_12.dbf             /dev/vg03/lvol6             2097.15                                                                                                                                                                                                 
DATA_TBS_2           /cl06/oradata/CL2PRP/data_tbs_2_13.dbf             /dev/vg03/lvol6             2097.15                                                                                                                                                                                                 
DATA_TBS_2           /cl06/oradata/CL2PRP/data_tbs_2_14.dbf             /dev/vg03/lvol6             2097.15                                                                                                                                                                                                 
DATA_TBS_2           /cl06/oradata/CL2PRP/data_tbs_2_15.dbf             /dev/vg03/lvol6             2097.15                                                                                                                                                                                                 
DATA_TBS_2           /cl07/oradata/CL2PRP/data_tbs_2_16.dbf             /dev/vg03/lvol7             2097.15                                                                                                                                                                                                 
DATA_TBS_2           /cl08/oradata/CL2PRP/data_tbs_2_19.dbf             /dev/vg03/lvol8             2097.15                                                                                                                                                                                                 
DATA_TBS_3           /cl02/oradata/CL2PRP/data_tbs_3_01.dbf             /dev/vg03/lvol2             2097.15                                                                                                                                                                                                 
DATA_TBS_3           /cl02/oradata/CL2PRP/data_tbs_3_02.dbf             /dev/vg03/lvol2             2097.15                                                                                                                                                                                                 
DATA_TBS_3           /cl02/oradata/CL2PRP/data_tbs_3_03.dbf             /dev/vg03/lvol2             1048.58                                                                                                                                                                                                 

TABLESPACE           DATA_FILE                                          FILESYSTEM                  SIZE_MB                                                                                                                                                                                                 
-------------------- -------------------------------------------------- ------------------------- ---------                                                                                                                                                                                                 
DATA_TBS_3           /cl02/oradata/CL2PRP/data_tbs_3_04.dbf             /dev/vg03/lvol2              209.72                                                                                                                                                                                                 
DATA_TBS_3           /cl02/oradata/CL2PRP/data_tbs_3_05.dbf             /dev/vg03/lvol2             1258.29                                                                                                                                                                                                 
DATA_TBS_3           /cl04/oradata/CL2PRP/data_tbs_3_06.dbf             /dev/vg03/lvol4             1572.86                                                                                                                                                                                                 
DATA_TBS_3           /cl05/oradata/CL2PRP/data_tbs_3_07.dbf             /dev/vg03/lvol5             2097.15                                                                                                                                                                                                 
DATA_TBS_3           /cl05/oradata/CL2PRP/data_tbs_3_08.dbf             /dev/vg03/lvol5             2097.15                                                                                                                                                                                                 
DATA_TBS_3           /cl05/oradata/CL2PRP/data_tbs_3_09                 /dev/vg03/lvol5             2097.15                                                                                                                                                                                                 
DATA_TBS_3           /cl06/oradata/CL2PRP/data_tbs_3_09.dbf             /dev/vg03/lvol6             2097.15                                                                                                                                                                                                 
DATA_TBS_3           /cl06/oradata/CL2PRP/data_tbs_3_10.dbf             /dev/vg03/lvol6             2097.15                                                                                                                                                                                                 
DATA_TBS_3           /cl07/oradata/CL2PRP/data_tbs_3_11.dbf             /dev/vg03/lvol7             2097.15                                                                                                                                                                                                 
DATA_TBS_3           /cl07/oradata/CL2PRP/data_tbs_3_12.dbf             /dev/vg03/lvol7             2097.15                                                                                                                                                                                                 
DATA_TBS_3           /cl07/oradata/CL2PRP/data_tbs_3_13.dbf             /dev/vg03/lvol7             2097.15                                                                                                                                                                                                 
DATA_TBS_3           /cl07/oradata/CL2PRP/data_tbs_3_14.dbf             /dev/vg03/lvol7             2097.15                                                                                                                                                                                                 
DATA_TBS_3           /cl07/oradata/CL2PRP/data_tbs_3_15.dbf             /dev/vg03/lvol7             2097.15                                                                                                                                                                                                 
DATA_TBS_3           /cl07/oradata/CL2PRP/data_tbs_3_16.dbf             /dev/vg03/lvol7             2621.44                                                                                                                                                                                                 
DATA_TBS_3           /cl07/oradata/CL2PRP/data_tbs_3_17.dbf             /dev/vg03/lvol7             3145.73                                                                                                                                                                                                 
DATA_TBS_3           /cl08/oradata/CL2PRP/data_tbs_3_18.dbf             /dev/vg03/lvol8             2097.15                                                                                                                                                                                                 
DATA_TBS_3           /cl08/oradata/CL2PRP/data_tbs_3_20.dbf             /dev/vg03/lvol8             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl02/oradata/CL2PRP/index_tbs_1_01.dbf            /dev/vg03/lvol2             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl02/oradata/CL2PRP/index_tbs_1_02.dbf            /dev/vg03/lvol2             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl02/oradata/CL2PRP/index_tbs_1_03.dbf            /dev/vg03/lvol2             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl02/oradata/CL2PRP/index_tbs_1_04.dbf            /dev/vg03/lvol2             2097.15                                                                                                                                                                                                 

TABLESPACE           DATA_FILE                                          FILESYSTEM                  SIZE_MB                                                                                                                                                                                                 
-------------------- -------------------------------------------------- ------------------------- ---------                                                                                                                                                                                                 
INDEX_TBS_1          /cl02/oradata/CL2PRP/index_tbs_1_05.dbf            /dev/vg03/lvol2             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl02/oradata/CL2PRP/index_tbs_1_06.dbf            /dev/vg03/lvol2             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl02/oradata/CL2PRP/index_tbs_1_07.dbf            /dev/vg03/lvol2             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl02/oradata/CL2PRP/index_tbs_1_08.dbf            /dev/vg03/lvol2             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl02/oradata/CL2PRP/index_tbs_1_09.dbf            /dev/vg03/lvol2             1048.58                                                                                                                                                                                                 
INDEX_TBS_1          /cl03/oradata/CL2PRP/index_tbs_1_10.dbf            /dev/vg03/lvol3             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl04/oradata/CL2PRP/index_tbs_1_11.dbf            /dev/vg03/lvol4             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl04/oradata/CL2PRP/index_tbs_1_119.dbf           /dev/vg03/lvol4             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl04/oradata/CL2PRP/index_tbs_1_12.dbf            /dev/vg03/lvol4             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl04/oradata/CL2PRP/index_tbs_1_120.dbf           /dev/vg03/lvol4             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl05/oradata/CL2PRP/index_tbs_1_13.dbf            /dev/vg03/lvol5             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl05/oradata/CL2PRP/index_tbs_1_14.dbf            /dev/vg03/lvol5             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl05/oradata/CL2PRP/index_tbs_1_15.dbf            /dev/vg03/lvol5             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl05/oradata/CL2PRP/index_tbs_1_16.dbf            /dev/vg03/lvol5             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl05/oradata/CL2PRP/index_tbs_1_17.dbf            /dev/vg03/lvol5             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl05/oradata/CL2PRP/index_tbs_1_18.dbf            /dev/vg03/lvol5             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl05/oradata/CL2PRP/index_tbs_1_19.dbf            /dev/vg03/lvol5             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl05/oradata/CL2PRP/index_tbs_1_20.dbf            /dev/vg03/lvol5             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl06/oradata/CL2PRP/index_tbs_1_21.dbf            /dev/vg03/lvol6             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl06/oradata/CL2PRP/index_tbs_1_22.dbf            /dev/vg03/lvol6             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl06/oradata/CL2PRP/index_tbs_1_23.dbf            /dev/vg03/lvol6             2097.15                                                                                                                                                                                                 

TABLESPACE           DATA_FILE                                          FILESYSTEM                  SIZE_MB                                                                                                                                                                                                 
-------------------- -------------------------------------------------- ------------------------- ---------                                                                                                                                                                                                 
INDEX_TBS_1          /cl06/oradata/CL2PRP/index_tbs_1_24.dbf            /dev/vg03/lvol6             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl06/oradata/CL2PRP/index_tbs_1_25.dbf            /dev/vg03/lvol6             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl07/oradata/CL2PRP/index_tbs_1_26.dbf            /dev/vg03/lvol7             3145.73                                                                                                                                                                                                 
INDEX_TBS_1          /cl07/oradata/CL2PRP/index_tbs_1_27.dbf            /dev/vg03/lvol7             3145.73                                                                                                                                                                                                 
INDEX_TBS_1          /cl07/oradata/CL2PRP/index_tbs_1_30.dbf            /dev/vg03/lvol7             3145.73                                                                                                                                                                                                 
INDEX_TBS_1          /cl08/oradata/CL2PRP/index_tbs_1_31.dbf            /dev/vg03/lvol8             3145.73                                                                                                                                                                                                 
INDEX_TBS_1          /cl08/oradata/CL2PRP/index_tbs_1_32.dbf            /dev/vg03/lvol8             2097.15                                                                                                                                                                                                 
INDEX_TBS_1          /cl08/oradata/CL2PRP/index_tbs_1_33.dbf            /dev/vg03/lvol8             2097.15                                                                                                                                                                                                 
RBS                  /cl03/oradata/CL2PRP/rbs01.dbf                     /dev/vg03/lvol3             1048.58                                                                                                                                                                                                 
RBS                  /cl03/oradata/CL2PRP/rbs02.dbf                     /dev/vg03/lvol3             1048.58                                                                                                                                                                                                 
RBS                  /cl04/oradata/CL2PRP/rbs03.dbf                     /dev/vg03/lvol4             2097.15                                                                                                                                                                                                 
RBS                  /cl06/oradata/CL2PRP/rbs04.dbf                     /dev/vg03/lvol6             2097.15                                                                                                                                                                                                 
SOXAUDIT             /cl03/oradata/CL2PRP/soxaudit01.dbf                /dev/vg03/lvol3              104.86                                                                                                                                                                                                 
SYSTEM               /cl01/oradata/CL2PRP/system01.dbf                  /dev/vg03/lvol1                 367                                                                                                                                                                                                 
SYSTEM               /cl05/oradata/CL2PRP/system02.dbf                  /dev/vg03/lvol5             1048.58                                                                                                                                                                                                 
TOOLS                /cl01/oradata/CL2PRP/tools01.dbf                   /dev/vg03/lvol1              419.43                                                                                                                                                                                                 
TOOLS                /cl01/oradata/CL2PRP/users02.dbf                   /dev/vg03/lvol1              419.43                                                                                                                                                                                                 
USERS                /cl01/oradata/CL2PRP/users01.dbf                   /dev/vg03/lvol1               52.43                                                                                                                                                                                                 

123 rows selected.

